priority;company;region;sector;why_good_fit;what_to_sell;primary_channel;public_contact_or_route;linkedin_target_roles;first_subject_or_hook;exact_first_action;source_notes
1;Audi / Volkswagen Group Spain route;Catalonia / Navarra;Automotive OEM;Premium manufacturing, visual quality, assembly quality, process logs, supplier quality and EV transition.;4-6 week Industrial Predictive Quality pilot: visual heatmaps + station/cycle risk + process deviation ranking.;"Warm intro first; LinkedIn role targeting; VW/SEAT/Audi supplier or innovation route";"No verified public personal email. Use existing Audi contact if available; otherwise target SEAT S.A./Volkswagen Group Spain innovation, quality or production roles.";"Head of Quality; Plant Quality Manager; Manufacturing Engineering; Smart Factory; Industrial AI; Maintenance; Supplier Quality";4-6 week pilot to detect quality drift earlier in one production process;Use father/personal intro if available. If cold: send short LinkedIn note to quality/production leaders, then email official procurement/innovation channel with deck PDF and one-page briefing.;"SEAT/Martorell and VW Group relation verified from public sources; contact must be confirmed before sending."
2;SEAT S.A. / CUPRA Martorell;Catalonia;Automotive OEM;Large Spanish automotive manufacturing site, Volkswagen Group connection, R&D/technical centre and production quality needs.;Audi-compatible pilot: surface/assembly inspection, test-log anomaly, station risk ranking.;LinkedIn + official corporate contact/procurement route;"Use SEAT/CUPRA official contact/supplier route; no direct email verified here.";"Production Quality; Innovation; SEAT CODE; Manufacturing Engineering; Digital Factory; Maintenance";Pilot for visual quality and station-risk scoring in Martorell;Send English deck + 6-week pilot email. Ask for one use case: visual defect, torque/test-log anomaly or machine drift.;"Public pages confirm Martorell industrial relevance; verify exact contact channel before outreach."
3;Volkswagen Navarra;Navarra;Automotive OEM;High-volume vehicle production, EV launch context, quality and process stability needs.;Machine/process risk scoring, visual inspection ranking, EV-line process deviation.;LinkedIn + VW Navarra/VW Group supplier route;No verified public direct email. Use official company/supplier route and LinkedIn.;"Plant Quality; Process Engineering; Maintenance; Digitalization; Production IT";Reducing late quality detection during high-volume/EV ramp-up;Send LinkedIn note to plant/quality/digitalization roles, then follow with deck and pilot one-pager.;"Recent public reporting indicates EV production ramp; verify official contact before sending."
4;Stellantis Vigo;Galicia;Automotive OEM;One of Galicia's most relevant industrial plants, high-volume automotive production, stamping/welding/painting/assembly.;Visual quality heatmaps, machine risk, process deviation for painting/assembly/logistics.;LinkedIn + Stellantis supplier/innovation route;"Use Stellantis official contact/supplier channels; no direct email verified here.";"Quality Manager; Industrial Performance; Manufacturing Engineering; Maintenance; Factory 4.0";Pilot for prioritized quality review at Vigo plant;"Send Spanish version if local contact; include visual demo image and short deck. Ask for one line/process, not broad platform deployment.";"Public sources confirm Vigo industrial scale; exact contact route must be checked."
5;FINSA;Galicia;Wood panels / surfaces;Surface quality, wood board defects, process sensors and multiple Galician plants.;Visual defect heatmaps for boards + process sensor risk scoring.;Email;finsa@finsa.es;"Quality Director; Plant Manager; Process Engineering; Maintenance; Digital Transformation";Piloto de 4-6 semanas para calidad de superficie y señales de proceso;"Send Spanish commercial email with Galicia-specific deck; attach or link presentation PDF and ask for 15-min call.";"Public contact provided from legal/contact brief; verify before sending."
6;Televés;Galicia;Electronics / telecom manufacturing;PCB/electronics production, test logs, visual inspection, high manufacturing culture.;PCB visual inspection, test-log anomaly, production deviation ranking.;Email;televes@televes.com;"Quality; Test Engineering; Manufacturing Engineering; Industrialization; R&D Operations";Piloto de anomalía visual y test logs para electrónica;Send Spanish email focused on PCB/test logs and false-alarm reduction. Ask for one product family or test station.;"Public contact provided from legal/contact brief; verify before sending."
7;Norvento;Galicia;Energy / industrial assets;SCADA, vibration, wind/energy assets and maintenance needs.;SCADA anomaly detection, vibration risk scoring, temporal deviation alerts.;Email;norvento@norvento.com;"O&M; Asset Performance; SCADA; Maintenance; Data/Innovation";Piloto de alertas tempranas con SCADA y vibración;Send Spanish email focused on asset health, fewer false alarms and top-10 risk ranking.;"Public contact provided from contact brief; verify before sending."
8;Marine Instruments;Galicia;Marine electronics / telemetry;Telemetry-rich products, sensors, reliability, early anomaly detection at sea.;Telemetry anomaly detection, device health score, predictive alerts.;Email;marineinstruments@marineinstruments.es;"Product Reliability; Engineering; Telemetry; Operations; Quality";Piloto de anomalías tempranas en telemetría marina;Send Spanish/English email focused on telemetry, sensor drift and ranked alerts for devices/fleets.;"Public contact provided from contact brief; verify before sending."
9;Alén Space;Galicia;Space / telemetry;Satellite telemetry, sensors, anomaly detection and early-warning use cases.;Telemetry health scoring, anomaly detection in sensor streams, local model validation.;Email;info@alen.space;"Mission Operations; Software; AIT/AIV; Quality; Systems Engineering";Pilot for telemetry anomaly detection and early-warning ranking;"Send English email with telemetry-specific angle; ask for non-sensitive historical telemetry subset.";Official contact page lists info@alen.space and +34 986 119 366.
10;Cinfo;Galicia;Video / media AI;Video data, event/anomaly detection, computer vision expertise.;"Video anomaly detection and event-ranking module; industrial visual quality pilot.";Form / phone;Contact form + +34 881 896 975;"Computer Vision; Product; Business Development; CTO; Operations";Industrial video anomaly detection pilot;Use contact form or call. Message should emphasize partnership/co-selling more than supplier-client sale.;"Public contact provided from contact brief; verify exact form URL."
